Importance,Level,Job Zone,Code,Occupation
83,71,4,11-3061.00,Purchasing Managers
83,70,3,19-4051.00,Nuclear Technicians
83,69,3,13-1041.04,Government Property Inspectors and Investigators
83,69,4,29-1125.00,Recreational Therapists
83,68,5,15-1221.00,Computer and Information Research Scientists
83,68,3,31-9099.02,Endoscopy Technicians
83,67,3,13-1041.08,Customs Brokers
83,66,4,13-1161.01,Search Marketing Strategists
83,65,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
83,64,4,11-1021.00,General and Operations Managers
83,64,2,49-9099.01,Geothermal Technicians
83,59,2,43-4041.00,"Credit Authorizers, Checkers, and Clerks"
83,59,3,13-1032.00,"Insurance Appraisers, Auto Damage"
83,56,3,31-9094.00,Medical Transcriptionists
83,56,3,51-8021.00,Stationary Engineers and Boiler Operators
83,53,5,29-1215.00,Family Medicine Physicians
82,79,5,25-1066.00,"Psychology Teachers, Postsecondary"
82,77,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
82,77,4,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers
82,77,5,17-2112.01,Human Factors Engineers and Ergonomists
82,77,5,19-3032.00,Industrial-Organizational Psychologists
82,75,4,17-2041.00,Chemical Engineers
82,75,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
82,72,4,17-2021.00,Agricultural Engineers
82,71,5,29-1181.00,Audiologists
82,71,4,17-2051.00,Civil Engineers
82,71,2,33-3012.00,Correctional Officers and Jailers
82,71,5,29-1122.00,Occupational Therapists
82,71,5,29-1222.00,"Physicians, Pathologists"
82,70,5,19-1029.02,Molecular and Cellular Biologists
82,69,4,17-2141.00,Mechanical Engineers
82,68,4,17-2011.00,Aerospace Engineers
82,68,3,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment"
82,68,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
82,67,3,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians
82,67,2,43-9021.00,Data Entry Keyers
82,67,3,31-2011.00,Occupational Therapy Assistants
82,67,2,41-2022.00,Parts Salespersons
82,67,5,25-2051.00,"Special Education Teachers, Preschool"
82,67,2,53-7121.00,"Tank Car, Truck, and Ship Loaders"
82,66,2,31-1121.00,Home Health Aides
82,65,5,29-1299.02,Orthoptists
82,64,1,45-2041.00,"Graders and Sorters, Agricultural Products"
82,62,5,29-1213.00,Dermatologists
82,61,3,43-5061.00,"Production, Planning, and Expediting Clerks"
82,60,5,29-1123.00,Physical Therapists
82,58,2,43-2021.00,Telephone Operators
