Importance,Level,Job Zone,Code,Occupation
75,70,5,25-2059.01,Adapted Physical Education Specialists
75,70,4,13-1081.02,Logistics Analysts
75,69,2,53-1041.00,Aircraft Cargo Handling Supervisors
75,69,4,27-1024.00,Graphic Designers
75,69,4,17-1022.00,Surveyors
75,68,3,39-5091.00,"Makeup Artists, Theatrical and Performance"
75,66,5,11-3031.03,Investment Fund Managers
75,65,2,43-4151.00,Order Clerks
75,64,3,17-3022.00,Civil Engineering Technologists and Technicians
75,64,2,53-7051.00,Industrial Truck and Tractor Operators
74,80,4,11-9199.01,Regulatory Affairs Managers
74,79,4,13-1081.01,Logistics Engineers
74,78,5,19-3091.00,Anthropologists and Archeologists
74,78,3,15-1241.01,Telecommunications Engineering Specialists
74,77,4,17-2051.00,Civil Engineers
74,77,5,25-1021.00,"Computer Science Teachers, Postsecondary"
74,76,5,17-2112.01,Human Factors Engineers and Ergonomists
74,75,4,17-2021.00,Agricultural Engineers
74,75,4,17-2111.02,Fire-Prevention and Protection Engineers
74,74,5,25-1032.00,"Engineering Teachers, Postsecondary"
74,74,4,11-9179.01,Fitness and Wellness Coordinators
74,74,5,29-1151.00,Nurse Anesthetists
74,74,4,19-5011.00,Occupational Health and Safety Specialists
74,74,4,17-2072.01,Radio Frequency Identification Device Specialists
74,72,3,51-8013.04,Hydroelectric Plant Technicians
74,71,5,25-1011.00,"Business Teachers, Postsecondary"
74,71,3,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
74,71,3,49-3052.00,Motorcycle Mechanics
74,70,2,33-9031.00,Gambling Surveillance Officers and Gambling Investigators
74,70,4,13-1161.01,Search Marketing Strategists
74,69,3,33-2021.00,Fire Inspectors and Investigators
74,69,3,11-9071.00,Gambling Managers
74,69,4,11-9081.00,Lodging Managers
74,68,3,33-3021.00,Detectives and Criminal Investigators
74,68,4,27-3042.00,Technical Writers
74,67,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
74,67,3,43-4131.00,Loan Interviewers and Clerks
74,63,4,13-2072.00,Loan Officers
74,63,3,31-9099.01,Speech-Language Pathology Assistants
74,62,2,49-9094.00,Locksmiths and Safe Repairers
74,61,2,43-3011.00,Bill and Account Collectors
74,61,3,29-2053.00,Psychiatric Technicians
74,58,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
73,80,5,19-1029.01,Bioinformatics Scientists
73,79,5,25-4011.00,Archivists
73,79,5,19-1041.00,Epidemiologists
73,78,4,17-2031.00,Bioengineers and Biomedical Engineers
73,78,5,25-1112.00,"Law Teachers, Postsecondary"
73,78,4,15-1255.01,Video Game Designers
73,77,5,17-2141.01,Fuel Cell Engineers
73,76,5,19-1022.00,Microbiologists
73,76,4,25-2057.00,"Special Education Teachers, Middle School"
73,75,4,17-2061.00,Computer Hardware Engineers
73,73,4,13-1051.00,Cost Estimators
73,73,4,11-3031.00,Financial Managers
73,73,2,43-9022.00,Word Processors and Typists
73,72,3,53-2021.00,Air Traffic Controllers
73,72,3,51-8021.00,Stationary Engineers and Boiler Operators
73,71,3,15-1254.00,Web Developers
73,70,4,17-2131.00,Materials Engineers
73,70,5,19-2032.00,Materials Scientists
73,69,3,53-2022.00,Airfield Operations Specialists
73,68,2,45-2011.00,Agricultural Inspectors
73,68,3,43-9031.00,Desktop Publishers
73,68,2,53-7041.00,Hoist and Winch Operators
73,68,3,29-9093.00,Surgical Assistants
73,67,5,29-1031.00,Dietitians and Nutritionists
73,64,3,31-9091.00,Dental Assistants
73,62,2,43-5011.01,Freight Forwarders
73,51,2,47-4091.00,Segmental Pavers
72,80,3,33-2022.00,Forest Fire Inspectors and Prevention Specialists
72,76,4,17-2081.00,Environmental Engineers
72,75,5,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary"
72,75,4,13-1199.05,Sustainability Specialists
72,74,5,15-2041.01,Biostatisticians
72,74,5,29-9099.01,Midwives
72,74,4,17-2199.08,Robotics Engineers
72,72,2,47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters"
