Context,Job Zone,Code,Occupation
79,5,19-1023.00,Zoologists and Wildlife Biologists
78,4,15-2011.00,Actuaries
78,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
78,3,47-2011.00,Boilermakers
78,2,47-2041.00,Carpet Installers
78,3,35-1011.00,Chefs and Head Cooks
78,4,11-3111.00,Compensation and Benefits Managers
78,2,33-3012.00,Correctional Officers and Jailers
78,5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
78,4,13-2061.00,Financial Examiners
78,3,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
78,3,45-4011.00,Forest and Conservation Workers
78,2,49-9094.00,Locksmiths and Safe Repairers
78,2,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
78,4,17-2121.00,Marine Engineers and Naval Architects
78,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
78,3,51-4061.00,"Model Makers, Metal and Plastic"
78,3,49-3051.00,Motorboat Mechanics and Service Technicians
78,2,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics
78,2,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
78,3,33-9021.00,Private Detectives and Investigators
78,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
78,4,11-9199.01,Regulatory Affairs Managers
78,2,49-9096.00,Riggers
78,1,47-5071.00,"Roustabouts, Oil and Gas"
78,4,25-2057.00,"Special Education Teachers, Middle School"
78,3,29-2056.00,Veterinary Technologists and Technicians
78,3,49-9081.00,Wind Turbine Service Technicians
77,2,51-8013.03,Biomass Plant Technicians
77,2,47-2031.00,Carpenters
77,4,13-2071.00,Credit Counselors
77,4,11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers"
77,4,11-3031.00,Financial Managers
77,5,13-2099.01,Financial Quantitative Analysts
77,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
77,2,39-1013.00,First-Line Supervisors of Gambling Services Workers
77,3,19-4013.00,Food Science Technicians
77,4,21-1091.00,Health Education Specialists
77,2,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
77,2,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers"
77,3,51-8013.04,Hydroelectric Plant Technicians
77,2,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
77,3,43-4131.00,Loan Interviewers and Clerks
77,2,31-9093.00,Medical Equipment Preparers
77,3,29-2099.01,Neurodiagnostic Technologists
77,3,19-4051.00,Nuclear Technicians
77,4,13-1199.06,Online Merchants
77,3,29-2057.00,Ophthalmic Medical Technicians
76,4,11-2011.00,Advertising and Promotions Managers
76,4,17-2021.00,Agricultural Engineers
76,3,49-3023.00,Automotive Service Technicians and Mechanics
76,2,51-9193.00,Cooling and Freezing Equipment Operators and Tenders
76,3,29-2032.00,Diagnostic Medical Sonographers
76,4,19-1032.00,Foresters
76,2,47-2121.00,Glaziers
76,2,47-5081.00,Helpers--Extraction Workers
76,4,27-1025.00,Interior Designers
76,2,49-9011.00,Mechanical Door Repairers
76,2,51-4051.00,Metal-Refining Furnace Operators and Tenders
76,4,27-2041.00,Music Directors and Composers
76,5,11-9121.00,Natural Sciences Managers
76,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
76,2,41-2031.00,Retail Salespersons
76,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
76,2,47-2231.00,Solar Photovoltaic Installers
76,4,17-1022.00,Surveyors
76,4,17-2051.01,Transportation Engineers
76,4,11-3071.00,"Transportation, Storage, and Distribution Managers"
75,2,39-2011.00,Animal Trainers
75,4,17-2141.02,Automotive Engineers
75,4,21-1021.00,"Child, Family, and School Social Workers"
75,5,29-1141.04,Clinical Nurse Specialists
75,3,49-9092.00,Commercial Divers
75,4,15-1241.00,Computer Network Architects
75,4,15-1299.08,Computer Systems Engineers/Architects
75,3,53-7021.00,Crane and Tower Operators
75,2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
75,5,29-2011.02,Cytotechnologists
75,5,25-1081.00,"Education Teachers, Postsecondary"
75,4,17-3025.00,Environmental Engineering Technologists and Technicians
75,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
75,4,13-1131.00,Fundraisers
75,2,53-7071.00,Gas Compressor and Gas Pumping Station Operators
75,3,13-1041.04,Government Property Inspectors and Investigators
75,5,19-3093.00,Historians
75,2,49-9031.00,Home Appliance Repairers
75,3,29-2035.00,Magnetic Resonance Imaging Technologists
75,5,21-1013.00,Marriage and Family Therapists
75,4,27-3023.00,"News Analysts, Reporters, and Journalists"
75,2,17-3029.01,Non-Destructive Testing Specialists
75,3,31-2012.00,Occupational Therapy Aides
75,5,29-2091.00,Orthotists and Prosthetists
75,2,31-1122.00,Personal Care Aides
75,4,17-2171.00,Petroleum Engineers
75,3,29-2052.00,Pharmacy Technicians
75,3,31-9097.00,Phlebotomists
75,3,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
75,4,27-3031.00,Public Relations Specialists
75,4,17-2072.01,Radio Frequency Identification Device Specialists
75,2,53-4031.00,Railroad Conductors and Yardmasters
75,4,17-2199.08,Robotics Engineers
75,2,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
75,4,11-3131.00,Training and Development Managers
75,3,33-3052.00,Transit and Railroad Police
74,3,27-4011.00,Audio and Video Technicians
74,2,51-8091.00,Chemical Plant and System Operators
74,5,11-1011.03,Chief Sustainability Officers
74,3,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door"
74,3,13-1041.08,Customs Brokers
74,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
74,3,49-2092.00,"Electric Motor, Power Tool, and Related Repairers"
74,3,47-2111.00,Electricians
74,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
74,3,27-1022.00,Fashion Designers
74,3,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers
74,2,41-1011.00,First-Line Supervisors of Retail Sales Workers
74,5,25-1071.00,"Health Specialties Teachers, Postsecondary"
74,2,31-1121.00,Home Health Aides
74,2,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
74,2,53-4011.00,Locomotive Engineers
74,4,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education"
74,2,39-9011.01,Nannies
74,3,29-2099.05,Ophthalmic Medical Technologists
74,2,47-2142.00,Paperhangers
74,2,43-4171.00,Receptionists and Information Clerks
74,2,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
74,2,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
74,3,51-8021.00,Stationary Engineers and Boiler Operators
74,3,13-2082.00,Tax Preparers
