Context,Job Zone,Code,Occupation
82,2,41-2022.00,Parts Salespersons
82,4,13-2052.00,Personal Financial Advisors
82,2,53-7072.00,"Pump Operators, Except Wellhead Pumpers"
82,4,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
82,3,29-2034.00,Radiologic Technologists and Technicians
82,4,11-9151.00,Social and Community Service Managers
81,4,27-1011.00,Art Directors
81,2,51-8099.01,Biofuels Processing Technicians
81,4,11-3051.04,Biomass Power Plant Managers
81,2,33-9091.00,Crossing Guards and Flaggers
81,3,33-2011.00,Firefighters
81,3,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
81,2,41-1011.00,First-Line Supervisors of Retail Sales Workers
81,2,39-4021.00,Funeral Attendants
81,3,11-9171.00,Funeral Home Managers
81,2,41-2012.00,Gambling Change Persons and Booth Cashiers
81,2,39-3011.00,Gambling Dealers
81,3,11-3051.02,Geothermal Production Managers
81,2,47-4051.00,Highway Maintenance Workers
81,2,43-4171.00,Receptionists and Information Clerks
81,4,21-1015.00,Rehabilitation Counselors
81,3,47-2152.04,Solar Thermal Installers and Technicians
80,2,39-2021.00,Animal Caretakers
80,5,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors"
80,2,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
80,3,51-6092.00,Fabric and Apparel Patternmakers
80,3,19-4071.00,Forest and Conservation Technicians
80,2,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers"
80,3,49-9071.00,"Maintenance and Repair Workers, General"
80,5,29-9099.01,Midwives
80,5,29-1151.00,Nurse Anesthetists
80,4,13-1199.06,Online Merchants
80,2,47-2151.00,Pipelayers
80,2,51-5112.00,Printing Press Operators
80,3,43-5061.00,"Production, Planning, and Expediting Clerks"
80,2,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
79,5,29-1291.00,Acupuncturists
79,4,21-1021.00,"Child, Family, and School Social Workers"
79,3,39-6012.00,Concierges
79,3,53-7021.00,Crane and Tower Operators
79,2,53-7031.00,Dredge Operators
79,3,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
79,3,17-3026.00,Industrial Engineering Technologists and Technicians
79,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
79,2,49-9011.00,Mechanical Door Repairers
79,4,17-2141.00,Mechanical Engineers
79,2,17-3029.01,Non-Destructive Testing Specialists
79,3,29-2099.05,Ophthalmic Medical Technologists
79,2,51-9111.00,Packaging and Filling Machine Operators and Tenders
79,3,31-9097.00,Phlebotomists
79,2,47-2072.00,Pile Driver Operators
79,5,25-1065.00,"Political Science Teachers, Postsecondary"
79,3,29-1124.00,Radiation Therapists
79,2,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers"
79,2,41-2031.00,Retail Salespersons
79,3,47-1011.03,Solar Energy Installation Managers
79,4,53-6051.00,Transportation Inspectors
78,4,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers"
78,3,13-1041.08,Customs Brokers
78,2,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
78,2,39-1013.00,First-Line Supervisors of Gambling Services Workers
78,2,43-3041.00,Gambling Cage Workers
78,2,47-5081.00,Helpers--Extraction Workers
78,3,51-8013.04,Hydroelectric Plant Technicians
78,3,43-4111.00,"Interviewers, Except Eligibility and Loan"
78,2,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
78,4,11-2021.00,Marketing Managers
78,2,31-9093.00,Medical Equipment Preparers
78,3,19-5012.00,Occupational Health and Safety Technicians
78,1,47-2161.00,Plasterers and Stucco Masons
78,4,27-3031.00,Public Relations Specialists
78,1,47-5071.00,"Roustabouts, Oil and Gas"
78,2,33-9032.00,Security Guards
78,2,39-5093.00,Shampooers
78,2,47-2231.00,Solar Photovoltaic Installers
78,3,29-2056.00,Veterinary Technologists and Technicians
78,3,51-8031.00,Water and Wastewater Treatment Plant and System Operators
77,5,25-1042.00,"Biological Science Teachers, Postsecondary"
77,2,47-2041.00,Carpet Installers
77,3,17-3022.00,Civil Engineering Technologists and Technicians
77,4,27-2022.00,Coaches and Scouts
77,4,27-1021.00,Commercial and Industrial Designers
77,4,11-9199.02,Compliance Managers
77,5,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
77,3,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians
77,4,25-2021.00,"Elementary School Teachers, Except Special Education"
77,4,13-1041.03,Equal Opportunity Representatives and Officers
77,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
77,4,33-3031.00,Fish and Game Wardens
77,4,11-3121.00,Human Resources Managers
77,2,53-3033.00,Light Truck Drivers
77,4,11-9199.08,Loss Prevention Managers
77,3,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers"
77,4,29-1141.00,Registered Nurses
77,2,33-9099.02,Retail Loss Prevention Specialists
77,2,49-9096.00,Riggers
77,3,51-8021.00,Stationary Engineers and Boiler Operators
77,4,17-1022.00,Surveyors
77,3,13-2082.00,Tax Preparers
77,2,49-3093.00,Tire Repairers and Changers
76,2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
76,3,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers"
76,2,41-2021.00,Counter and Rental Clerks
76,5,25-1081.00,"Education Teachers, Postsecondary"
76,3,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles"
76,4,17-2111.02,Fire-Prevention and Protection Engineers
