Importance,Level,Job Zone,Code,Occupation
80,72,4,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education"
80,70,4,39-9032.00,Recreation Workers
80,70,4,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
80,70,4,17-2051.01,Transportation Engineers
80,69,5,25-2051.00,"Special Education Teachers, Preschool"
80,68,5,29-1229.03,Urologists
80,67,3,31-9011.00,Massage Therapists
80,65,3,19-4013.00,Food Science Technicians
80,65,3,31-2011.00,Occupational Therapy Assistants
80,60,1,45-2091.00,Agricultural Equipment Operators
79,78,5,29-1229.06,Sports Medicine Physicians
79,76,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
79,76,2,47-5013.00,"Service Unit Operators, Oil and Gas"
79,75,3,11-3012.00,Administrative Services Managers
79,75,5,29-1022.00,Oral and Maxillofacial Surgeons
79,75,4,11-9199.10,Wind Energy Development Managers
79,74,4,13-1041.07,Regulatory Affairs Specialists
79,73,4,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
79,73,4,11-9081.00,Lodging Managers
79,72,4,13-2011.00,Accountants and Auditors
79,72,3,19-4071.00,Forest and Conservation Technicians
79,71,4,13-1199.04,Business Continuity Planners
79,71,4,27-2012.00,Producers and Directors
79,70,5,29-9091.00,Athletic Trainers
79,70,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
79,70,4,17-2072.01,Radio Frequency Identification Device Specialists
79,70,4,25-3041.00,Tutors
79,69,2,53-1042.01,Recycling Coordinators
79,67,4,13-1051.00,Cost Estimators
79,67,2,41-9011.00,Demonstrators and Product Promoters
79,67,3,17-3027.00,Mechanical Engineering Technologists and Technicians
79,66,2,43-4121.00,"Library Assistants, Clerical"
78,79,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
78,78,4,13-1121.00,"Meeting, Convention, and Event Planners"
78,78,4,11-9151.00,Social and Community Service Managers
78,77,3,29-1141.01,Acute Care Nurses
78,77,5,19-3091.00,Anthropologists and Archeologists
78,77,3,13-1041.06,Coroners
78,76,5,25-4012.00,Curators
78,75,5,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary"
78,75,3,19-5012.00,Occupational Health and Safety Technicians
78,73,2,43-4051.00,Customer Service Representatives
78,72,5,17-1011.00,"Architects, Except Landscape and Naval"
78,72,3,25-3021.00,Self-Enrichment Teachers
78,71,3,29-2092.00,Hearing Aid Specialists
78,71,4,25-2012.00,"Kindergarten Teachers, Except Special Education"
78,70,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
78,70,5,29-1041.00,Optometrists
78,68,4,43-9111.00,Statistical Assistants
78,67,3,11-9071.00,Gambling Managers
78,66,3,31-2012.00,Occupational Therapy Aides
