Importance,Job Zone,Code,Occupation
77,2,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers"
77,2,49-3091.00,Bicycle Repairers
77,3,25-1194.00,"Career/Technical Education Teachers, Postsecondary"
77,5,19-3033.00,Clinical and Counseling Psychologists
77,3,49-9092.00,Commercial Divers
77,3,53-2012.00,Commercial Pilots
77,5,19-1041.00,Epidemiologists
77,4,19-1012.00,Food Scientists and Technologists
77,3,11-9171.00,Funeral Home Managers
77,3,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
77,4,11-3121.00,Human Resources Managers
77,4,13-2053.00,Insurance Underwriters
77,5,21-1014.00,Mental Health Counselors
77,3,49-3052.00,Motorcycle Mechanics
77,5,29-1023.00,Orthodontists
77,4,19-1031.03,Park Naturalists
77,2,31-2022.00,Physical Therapist Aides
77,5,29-1123.00,Physical Therapists
77,4,27-3031.00,Public Relations Specialists
77,2,53-1042.01,Recycling Coordinators
77,4,27-1014.00,Special Effects Artists and Animators
77,3,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents"
77,2,43-2021.00,Telephone Operators
76,5,29-1181.00,Audiologists
76,4,15-2099.01,Bioinformatics Technicians
76,4,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
76,2,43-5011.00,Cargo and Freight Agents
76,2,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
76,4,21-1094.00,Community Health Workers
76,4,15-1241.00,Computer Network Architects
76,4,13-1051.00,Cost Estimators
76,5,25-4012.00,Curators
76,3,13-1041.08,Customs Brokers
76,4,15-1243.01,Data Warehousing Specialists
76,3,33-3021.00,Detectives and Criminal Investigators
76,4,21-2021.00,"Directors, Religious Activities and Education"
76,5,25-1123.00,"English Language and Literature Teachers, Postsecondary"
76,2,13-1074.00,Farm Labor Contractors
76,2,47-4031.00,Fence Erectors
76,3,33-2011.00,Firefighters
76,3,33-1012.00,First-Line Supervisors of Police and Detectives
76,3,45-4011.00,Forest and Conservation Workers
76,4,15-1211.01,Health Informatics Specialists
76,2,43-4081.00,"Hotel, Motel, and Resort Desk Clerks"
76,5,19-2043.00,Hydrologists
76,4,15-1299.09,Information Technology Project Managers
76,5,25-9031.00,Instructional Coordinators
76,4,27-3091.00,Interpreters and Translators
76,3,43-4111.00,"Interviewers, Except Eligibility and Loan"
76,2,49-9094.00,Locksmiths and Safe Repairers
76,4,17-2121.00,Marine Engineers and Naval Architects
76,1,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
76,4,27-2012.05,Media Technical Directors/Managers
76,4,13-1121.00,"Meeting, Convention, and Event Planners"
76,5,29-1161.00,Nurse Midwives
76,5,29-1122.00,Occupational Therapists
76,3,31-2012.00,Occupational Therapy Aides
76,3,31-9097.00,Phlebotomists
76,4,11-3051.01,Quality Control Systems Managers
76,4,39-9032.00,Recreation Workers
76,3,11-9179.02,Spa Managers
76,3,31-9099.01,Speech-Language Pathology Assistants
76,5,25-9044.00,"Teaching Assistants, Postsecondary"
76,3,51-4111.00,Tool and Die Makers
76,3,39-7011.00,Tour Guides and Escorts
76,4,27-3043.00,Writers and Authors
75,4,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes"
75,4,17-2021.00,Agricultural Engineers
75,4,19-2021.00,Atmospheric and Space Scientists
75,3,29-2031.00,Cardiovascular Technologists and Technicians
75,5,25-1052.00,"Chemistry Teachers, Postsecondary"
75,2,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
75,4,27-2022.00,Coaches and Scouts
75,4,11-9021.00,Construction Managers
75,4,15-1242.00,Database Administrators
75,3,31-9091.00,Dental Assistants
75,5,29-1021.00,"Dentists, General"
75,2,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
75,2,49-9051.00,Electrical Power-Line Installers and Repairers
75,3,39-4011.00,Embalmers
75,3,31-9099.02,Endoscopy Technicians
75,2,51-9194.00,Etchers and Engravers
75,3,39-1022.00,First-Line Supervisors of Personal Service Workers
75,3,51-1011.00,First-Line Supervisors of Production and Operating Workers
75,2,35-3041.00,"Food Servers, Nonrestaurant"
75,4,13-2099.04,"Fraud Examiners, Investigators and Analysts"
75,5,19-2042.00,"Geoscientists, Except Hydrologists and Geographers"
75,3,49-9021.00,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
75,4,15-1212.00,Information Security Analysts
75,2,47-2142.00,Paperhangers
75,3,51-8012.00,Power Distributors and Dispatchers
75,4,27-2012.00,Producers and Directors
75,4,29-1141.00,Registered Nurses
75,4,21-1015.00,Rehabilitation Counselors
75,2,47-2171.00,Reinforcing Iron and Rebar Workers
75,4,19-4099.03,Remote Sensing Technicians
75,2,47-5013.00,"Service Unit Operators, Oil and Gas"
75,5,15-2041.00,Statisticians
75,4,11-3071.04,Supply Chain Managers
75,3,29-2055.00,Surgical Technologists
75,5,19-3022.00,Survey Researchers
75,2,51-2092.00,Team Assemblers
75,2,49-9052.00,Telecommunications Line Installers and Repairers
75,2,43-3071.00,Tellers
75,4,19-3099.01,Transportation Planners
75,3,39-7012.00,Travel Guides
75,3,29-2056.00,Veterinary Technologists and Technicians
75,4,11-9121.02,Water Resource Specialists
74,3,11-3012.00,Administrative Services Managers
74,3,49-3011.00,Aircraft Mechanics and Service Technicians
74,5,11-9041.00,Architectural and Engineering Managers
74,5,25-4011.00,Archivists
74,5,29-9091.00,Athletic Trainers
74,3,27-4011.00,Audio and Video Technicians
74,4,17-2141.02,Automotive Engineers
74,4,15-2051.01,Business Intelligence Analysts
74,5,19-2041.01,Climate Change Policy Analysts
74,4,15-2051.02,Clinical Data Managers
74,3,13-1041.00,Compliance Officers
