Importance,Level,Job Zone,Code,Occupation
81,80,4,19-1012.00,Food Scientists and Technologists
81,80,5,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary"
81,79,4,15-1243.01,Data Warehousing Specialists
81,79,5,13-1111.00,Management Analysts
81,78,3,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers
81,78,5,17-2112.01,Human Factors Engineers and Ergonomists
81,78,4,15-1244.00,Network and Computer Systems Administrators
81,77,3,33-3051.04,Customs and Border Protection Officers
81,77,3,19-4051.00,Nuclear Technicians
81,77,4,19-5011.00,Occupational Health and Safety Specialists
81,77,5,29-1122.00,Occupational Therapists
81,77,5,19-3022.00,Survey Researchers
81,76,5,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
81,76,4,11-3131.00,Training and Development Managers
81,75,4,11-3111.00,Compensation and Benefits Managers
81,75,5,19-3092.00,Geographers
81,74,5,29-1123.00,Physical Therapists
81,73,5,17-1011.00,"Architects, Except Landscape and Naval"
81,73,3,31-9099.02,Endoscopy Technicians
81,73,4,17-2051.01,Transportation Engineers
81,72,5,29-9091.00,Athletic Trainers
81,70,3,39-5091.00,"Makeup Artists, Theatrical and Performance"
81,68,3,49-2098.00,Security and Fire Alarm Systems Installers
80,82,4,17-1022.01,Geodetic Surveyors
80,81,4,15-1243.00,Database Architects
80,80,4,17-2021.00,Agricultural Engineers
80,80,3,29-1126.00,Respiratory Therapists
80,78,3,49-3011.00,Aircraft Mechanics and Service Technicians
80,78,5,23-1023.00,"Judges, Magistrate Judges, and Magistrates"
80,77,5,25-1122.00,"Communications Teachers, Postsecondary"
80,77,3,27-3092.00,Court Reporters and Simultaneous Captioners
80,76,3,27-4011.00,Audio and Video Technicians
80,76,4,17-1021.00,Cartographers and Photogrammetrists
80,76,3,33-1012.00,First-Line Supervisors of Police and Detectives
80,76,3,29-2099.01,Neurodiagnostic Technologists
80,76,4,19-4012.01,Precision Agriculture Technicians
80,76,3,27-4014.00,Sound Engineering Technicians
80,75,5,29-1081.00,Podiatrists
80,75,2,43-5031.00,Public Safety Telecommunicators
80,74,5,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary"
80,74,4,19-4092.00,Forensic Science Technicians
80,74,4,29-2011.00,Medical and Clinical Laboratory Technologists
80,74,3,49-3052.00,Motorcycle Mechanics
80,74,3,29-2033.00,Nuclear Medicine Technologists
80,72,4,13-1041.07,Regulatory Affairs Specialists
80,71,3,49-3023.00,Automotive Service Technicians and Mechanics
80,71,3,13-1041.08,Customs Brokers
80,69,3,41-9022.00,Real Estate Sales Agents
80,69,3,33-3052.00,Transit and Railroad Police
80,68,3,27-4021.00,Photographers
80,66,3,43-4111.00,"Interviewers, Except Eligibility and Loan"
