Context,Job Zone,Code,Occupation
76,3,51-8092.00,Gas Plant Operators
76,2,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
76,4,33-3021.06,Intelligence Analysts
76,4,27-3091.00,Interpreters and Translators
76,4,13-1161.00,Market Research Analysts and Marketing Specialists
76,4,27-2041.00,Music Directors and Composers
76,3,31-2011.00,Occupational Therapy Assistants
76,2,47-2073.00,Operating Engineers and Other Construction Equipment Operators
76,3,29-2081.00,"Opticians, Dispensing"
76,5,29-1041.00,Optometrists
76,2,47-2142.00,Paperhangers
76,5,29-1229.04,Physical Medicine and Rehabilitation Physicians
76,3,47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
76,5,29-1223.00,Psychiatrists
76,3,53-5031.00,Ship Engineers
76,4,25-2058.00,"Special Education Teachers, Secondary School"
76,5,19-3022.00,Survey Researchers
76,3,15-1241.01,Telecommunications Engineering Specialists
76,2,51-4194.00,"Tool Grinders, Filers, and Sharpeners"
76,2,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
76,3,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products"
75,5,29-1211.00,Anesthesiologists
75,4,17-2051.00,Civil Engineers
75,4,11-9021.00,Construction Managers
75,5,21-1022.00,Healthcare Social Workers
75,2,47-3012.00,Helpers--Carpenters
75,2,47-3013.00,Helpers--Electricians
75,5,11-3031.03,Investment Fund Managers
75,4,13-1075.00,Labor Relations Specialists
75,2,49-9094.00,Locksmiths and Safe Repairers
75,3,49-9043.00,"Maintenance Workers, Machinery"
75,2,49-9011.00,Mechanical Door Repairers
75,5,21-1014.00,Mental Health Counselors
75,2,51-9151.00,Photographic Process Workers and Processing Machine Operators
75,3,33-3051.00,Police and Sheriff's Patrol Officers
75,3,33-3021.02,Police Identification and Records Officers
75,4,17-2072.01,Radio Frequency Identification Device Specialists
75,2,49-3043.00,Rail Car Repairers
75,4,29-1141.00,Registered Nurses
75,4,11-9199.01,Regulatory Affairs Managers
75,2,53-5011.00,Sailors and Marine Oilers
75,4,17-2112.02,Validation Engineers
75,3,15-1254.00,Web Developers
75,2,51-4121.00,"Welders, Cutters, Solderers, and Brazers"
74,4,11-3051.03,Biofuels Production Managers
74,3,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
74,2,43-5011.00,Cargo and Freight Agents
74,4,17-1021.00,Cartographers and Photogrammetrists
74,4,27-2032.00,Choreographers
74,4,15-2051.02,Clinical Data Managers
74,4,15-1211.00,Computer Systems Analysts
74,5,11-9033.00,"Education Administrators, Postsecondary"
74,4,33-3031.00,Fish and Game Wardens
74,1,47-2043.00,Floor Sanders and Finishers
74,2,11-9051.00,Food Service Managers
74,1,51-9022.00,"Grinding and Polishing Workers, Hand"
74,3,29-2092.00,Hearing Aid Specialists
74,4,13-1081.01,Logistics Engineers
74,3,29-2035.00,Magnetic Resonance Imaging Technologists
74,2,43-6013.00,Medical Secretaries and Administrative Assistants
74,2,43-5041.00,"Meter Readers, Utilities"
74,2,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
74,3,43-4141.00,New Accounts Clerks
74,5,29-1218.00,Obstetricians and Gynecologists
74,5,29-1122.00,Occupational Therapists
74,3,17-3029.08,Photonics Technicians
74,1,51-6021.00,"Pressers, Textile, Garment, and Related Materials"
74,4,11-9141.00,"Property, Real Estate, and Community Association Managers"
74,2,51-6041.00,Shoe and Leather Workers and Repairers
74,4,15-1253.00,Software Quality Assurance Analysts and Testers
74,4,11-3131.00,Training and Development Managers
74,3,29-2056.00,Veterinary Technologists and Technicians
74,2,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
74,2,43-9022.00,Word Processors and Typists
73,2,45-2011.00,Agricultural Inspectors
73,4,17-2141.02,Automotive Engineers
73,2,43-3011.00,Bill and Account Collectors
73,2,51-8099.01,Biofuels Processing Technicians
73,3,27-4012.00,Broadcast Technicians
73,3,27-4031.00,"Camera Operators, Television, Video, and Film"
73,3,53-2012.00,Commercial Pilots
73,4,15-1231.00,Computer Network Support Specialists
73,2,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders"
73,5,11-9032.00,"Education Administrators, Kindergarten through Secondary"
73,4,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare"
73,2,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
73,3,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
73,5,29-9092.00,Genetic Counselors
73,3,13-1041.04,Government Property Inspectors and Investigators
73,4,17-2111.00,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
73,3,11-3051.06,Hydroelectric Production Managers
73,3,17-3026.00,Industrial Engineering Technologists and Technicians
73,2,43-9041.00,Insurance Claims and Policy Processing Clerks
73,1,51-6011.00,Laundry and Dry-Cleaning Workers
73,4,11-9199.08,Loss Prevention Managers
73,1,37-2012.00,Maids and Housekeeping Cleaners
73,3,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines"
73,2,17-3029.01,Non-Destructive Testing Specialists
73,3,27-4021.00,Photographers
73,2,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators
73,4,41-9021.00,Real Estate Brokers
73,4,17-2199.08,Robotics Engineers
73,4,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
73,4,11-9151.00,Social and Community Service Managers
73,2,47-2082.00,Tapers
72,2,27-2021.00,Athletes and Sports Competitors
72,3,27-4011.00,Audio and Video Technicians
72,3,43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks"
72,4,25-2023.00,"Career/Technical Education Teachers, Middle School"
72,2,47-2031.00,Carpenters
72,4,19-2031.00,Chemists
72,3,47-4011.00,Construction and Building Inspectors
72,3,33-3051.04,Customs and Border Protection Officers
